GRIDCODE,CVIDE,Fa,Area VEGxCELDA,AREA ENTIDADxMUN
197502,16070,0.019181585,1478858.82,77097841.81
197503,16070,0.06276532,4839070.67,77097841.81
197504,16070,0.116734785,9000000.00,77097841.81
197505,16070,0.06003243,4628370.81,77097841.81
197506,16070,0.099135863,7643161.08,77097841.81
197507,16070,0.062747523,4837698.60,77097841.81
197507,16107,0.02274652,4162301.40,182986290.3
197508,16070,0.002456559,189395.43,77097841.81
197508,16107,0.041928167,7672279.76,182986290.3
197509,16044,0.040989608,3359293.99,81954771.64
197509,16107,0.016701991,3056235.35,182986290.3
197510,16044,0.10500184,8605401.83,81954771.64
197510,16107,0.000586599,107339.59,182986290.3
197511,16107,6.11238E-05,11184.82,182986290.3
197511,16044,0.088825807,7279698.71,81954771.64
197511,16107,0.006156191,1126498.55,182986290.3
197512,16044,0.055317575,4533539.21,81954771.64
197512,16107,0.003866657,707545.17,182986290.3
197512,16044,0.042938947,3519051.62,81954771.64
197512,16107,0.001259859,230536.84,182986290.3
197513,16044,0.104352063,8552149.50,81954771.64
197514,16044,0.109605417,8982686.92,81954771.64
197514,16107,9.46141E-05,17313.08,182986290.3
197515,16044,0.109593533,8981712.98,81954771.64
197515,16107,9.99366E-05,18287.02,182986290.3
197516,16044,0.041453427,3397306.11,81954771.64
197516,16044,0.00249121,138250.54,55495327.48
197517,16044,0.034280583,1902412.16,55495327.48
197518,16016,0.000437147,91533.24,209387698
197518,16037,0.017815494,2036310.06,114299947.5
197518,16044,0.016596153,1360133.94,81954771.64
197518,16044,0.011285123,626271.58,55495327.48
197519,16037,0.031878299,3643687.90,114299947.5
197519,16037,0.046861895,5356312.10,114299947.5
197520,16037,0.006901453,788835.71,114299947.5
197520,16037,0.058136377,6644984.82,114299947.5
197521,16037,0.01730717,1978208.66,114299947.5
197521,16037,0.061194165,6994489.89,114299947.5
197522,16037,0.008949115,1022883.35,114299947.5
197522,16037,0.065067575,7437220.43,114299947.5
197523,16037,0.066139157,7559702.21,114299947.5
197524,16037,0.035247878,4028830.59,114299947.5
197524,16037,0.028978819,773581.39,26694717.21
197525,16037,0.000281224,32143.91,114299947.5
197525,16037,0.071589126,1911051.47,26694717.21
197525,16027,0.06757612,3537825.23,52353186.98
197525,16027,0.004077328,150917.55,37013839.03
197526,16027,0.171422975,8974539.07,52353186.98
197526,16027,1.4114E-07,5.22,37013839.03
197527,16027,0.054691073,2863251.95,52353186.98
197527,16027,0.117218233,6136748.05,52353186.98
197528,16027,0.114104151,5973715.95,52353186.98
197528,16027,0.038333192,722744.60,18854276.58
197529,16027,1.45573E-05,762.12,52353186.98
197529,16027,0.076775948,1447554.97,18854276.58
197529,16018,0.078898985,3530384.00,44745619.8
197530,16018,0.209077155,3751942.87,17945255.08
197530,16018,0.050272946,2249494.14,44745619.8
197531,16018,0.19420908,3485131.48,17945255.08
197532,16018,0.018264455,327760.31,17945255.08
197533,16018,0.000627834,11266.64,17945255.08
197533,16018,0.029717823,1329742.42,44745619.8
197534,16088,8.01416E-05,13622.72,169983090.3
197534,16018,0.094825872,1701674.47,17945255.08
197534,16018,0.031665579,1416895.98,44745619.8
197534,16020,0.047011582,5016263.70,106702720.5
197535,16020,0.042215385,4504496.38,106702720.5
197536,16003,0.010531204,1577783.95,149819899.2
197536,16020,0.001651916,176263.90,106702720.5
197537,16003,0.003399172,509263.54,149819899.2
197537,16003,0.015012924,2249234.74,149819899.2
197537,16020,0.019674264,2099297.47,106702720.5
197537,16020,1.79297E-06,191.31,106702720.5
197538,16003,0.030559935,4578486.45,149819899.2
197538,16003,0.002084991,312373.16,149819899.2
197538,16003,0.022813595,3417930.57,149819899.2
197538,16020,0.006477903,691209.82,106702720.5
197539,16003,0.037117536,5560945.46,149819899.2
197539,16003,0.022954591,3439054.54,149819899.2
197540,16003,0.025244718,3782161.08,149819899.2
197540,16003,0.017695729,2651172.30,149819899.2
197541,16110,0.001112072,222648.64,200210552.9
197541,16003,0.002583988,387132.86,149819899.2
197542,16110,0.005912878,414088.85,70031697.49
197543,16110,0.035226483,2466970.39,70031697.49
197544,16110,0.002661029,532766.03,200210552.9
197544,16110,0.043190353,3024693.70,70031697.49
197545,16110,0.015084561,1056397.41,70031697.49
197545,16110,0.033915982,6790337.60,200210552.9
197545,16110,0.01607122,1125494.80,70031697.49
197546,16110,0.054940383,3847568.30,70031697.49
197546,16110,0.025626739,5130743.61,200210552.9
197546,16110,0.00030969,21688.09,70031697.49
197547,16110,0.04391575,3075494.52,70031697.49
197547,16110,0.005779166,1157049.96,200210552.9
197547,11002,0.002818127,202959.70,72019359.14
197548,16110,0.006752437,1351909.19,200210552.9
197549,16110,0.016658774,3335262.40,200210552.9
197550,16110,0.044460088,8901378.88,200210552.9
197551,16110,0.044952675,9000000.00,200210552.9
197552,16110,0.044952675,9000000.00,200210552.9
197553,16110,0.01269764,2542201.57,200210552.9
197553,16050,0.00145979,442384.38,303046664.4
197556,16050,0.032995948,4672921.61,141621072.5
197557,16050,0.057065928,8081737.91,141621072.5
197557,16050,0.003030101,918262.09,303046664.4
197558,16050,0.002312072,327438.07,141621072.5
197558,16050,0.020063945,6080311.74,303046664.4
197559,16050,0.027907608,8457307.65,303046664.4
197560,16050,0.029698397,9000000.00,303046664.4
197561,16050,0.027031959,8191945.02,303046664.4
197562,16050,0.003372316,1021969.24,303046664.4
197562,16050,0.018328543,5554403.76,303046664.4
197563,16050,0.001612304,488603.22,303046664.4
197563,16050,0.014774001,4477211.65,303046664.4
197563,16017,0.011491597,2928304.71,254821380.9
197563,16017,0.004339826,1105880.42,254821380.9
197564,16050,0.005694123,1725585.03,303046664.4
197564,16017,0.028547114,7274414.97,254821380.9
197565,16050,0.016018063,4854220.68,303046664.4
197565,16017,0.016269354,4145779.32,254821380.9
197566,16050,0.00402803,1220681.14,303046664.4
197566,16017,0.030528517,7779318.86,254821380.9
197567,16017,0.035318857,9000000.00,254821380.9
197568,16017,0.030694403,7821590.23,254821380.9
197569,16017,0.034704078,8843341.17,254821380.9
197570,15085,0.024561165,5607106.62,228291559.5
197570,16017,0.013314791,3392893.38,254821380.9
197571,15085,0.022975751,5245169.93,228291559.5
197572,15085,0.042075153,1795817.55,42681188.84
197573,15085,0.001908962,435799.81,228291559.5
197573,15085,0.066175796,2824461.65,42681188.84
197574,15085,0.003014254,688128.79,228291559.5
197574,15085,0.001426708,325705.46,228291559.5
197574,15085,0.034461017,1470837.16,42681188.84
197575,15085,0.012840739,2931432.30,228291559.5
197575,15085,0.01166904,498048.49,42681188.84
197576,15085,0.004840233,1104984.26,228291559.5
197576,15014,0.007068782,1052214.12,148853661.5
197576,15001,0.000962242,195500.64,203171976.3
197577,15085,0.007635834,1743196.47,228291559.5
197577,15014,3.72071E-05,5538.41,148853661.5
197577,15014,0.015742196,214382.88,13618359.56
197577,15001,0.011409705,2318132.27,203171976.3
197577,15001,0.002946768,253135.85,85902888.42
197578,15014,0.011539601,1717711.79,148853661.5
197578,15014,0.03509875,1750480.89,49873026.93
197578,15014,0.051532987,701794.75,13618359.56
197578,15001,0.011001116,2235118.44,203171976.3
197578,15001,0.011254974,328823.49,29215836.61
197578,15001,0.003364872,289052.21,85902888.42
