GRIDCODE,CVIDE,Fb,Area VEGxCELDA,AREA ENTIDADxMUN
197501,16085,0.002741091,205601.72,75007254.36
197501,16085,0.016875593,1265791.90,75007254.36
197501,16070,0.011424978,692400.74,60604119.23
197501,16070,0.062869568,3810154.78,60604119.23
197501,16070,0.03846796,2331316.81,60604119.23
197502,16070,0.039321432,2383040.76,60604119.23
197502,16070,0.066876072,4052965.43,60604119.23
197503,16070,0.003654922,129029.60,35302965.17
197503,16070,0.066528477,4031899.73,60604119.23
197505,16070,0.123831785,4371629.19,35302965.17
197506,16070,0.038434135,1356838.92,35302965.17
197508,16107,0.006928462,1138324.81,164296897.9
197509,16044,0.011213248,339934.54,30315439.34
197509,16107,0.013661464,2244536.13,164296897.9
197510,16044,0.009475653,287258.58,30315439.34
197513,16044,0.014773017,447850.50,30315439.34
197516,16044,0.222890438,3056948.73,13715028.57
197516,16044,0.00556374,76306.86,13715028.57
197517,16016,0.059956465,336321.91,5609435.237
197517,16044,0.436101546,5981145.16,13715028.57
197518,16016,0.151648238,850660.97,5609435.237
197518,16037,1,101149.04,101149.0357
197518,16044,0.286834341,3933941.18,13715028.57
197520,16037,0.034049254,1566179.48,45997468.68
197521,16037,0.000593542,27301.45,45997468.68
197522,16037,0.01173752,539896.22,45997468.68
197523,16037,0.031312545,1440297.79,45997468.68
197524,16037,0.068188534,3136499.97,45997468.68
197524,16027,0.000407457,18814.29,46174857.13
197525,16037,0.015234709,700758.04,45997468.68
197525,16027,0.002531026,116869.75,46174857.13
197525,16027,0.05523426,2550434.04,46174857.13
197526,16027,0.000551289,25455.71,46174857.13
197547,16110,0.021540798,4372411.27,202982792.6
197547,11002,0.002780981,192084.56,69070783.02
197548,16110,0.03597631,7302571.83,202982792.6
197548,11002,0.00500239,345518.98,69070783.02
197549,16110,0.027907477,5664737.60,202982792.6
197550,16110,0.000485859,98621.12,202982792.6
197553,16110,0.036769129,1660775.10,45167648.77
197553,16050,0.040483211,4354638.95,107566540.1
197554,16050,0.034474527,3708305.55,107566540.1
197554,16050,0.038192497,4108234.76,107566540.1
197554,16050,0.00887441,1183459.69,133356431.1
197555,16050,0.080484609,8657450.88,107566540.1
197555,16050,0.002568673,342549.12,133356431.1
197556,16050,0.039974008,4299865.75,107566540.1
197556,16050,0.000204059,27212.64,133356431.1
197561,16050,0.006059363,808054.98,133356431.1
197562,16050,0.018174054,2423627.00,133356431.1
197571,15085,0.044721001,3483147.85,77886177.79
197572,15085,0.09249629,7204182.45,77886177.79
197573,15085,0.071211636,5546402.13,77886177.79
197574,15085,0.083421391,6497373.31,77886177.79
197575,15085,0.071521281,5570519.21,77886177.79
197576,15085,0.082865954,6454112.45,77886177.79
197576,15014,0.002266518,81513.67,35964274.48
197576,15014,0.002156385,77552.80,35964274.48
197576,15001,0.000240663,34122.07,141783715.8
197577,15085,0.744101526,145152.98,195071.4675
197577,15014,0.041351367,1487171.91,35964274.48
197577,15001,0.062077059,739892.86,11918941.84
197577,15001,0.014764716,2093396.37,141783715.8
197578,15085,0.246854095,48154.19,195071.4675
197578,15014,1,435288.89,435288.8856
197578,15001,0.125311071,1493575.36,11918941.84
197579,15001,0.000752865,106744.06,141783715.8
197579,15001,0.004666238,661596.54,141783715.8
197580,15001,0.013065639,1852494.85,141783715.8
197580,15001,0.000166615,23623.24,141783715.8
197580,15001,0.00925488,1312191.20,141783715.8
197581,15001,0.040485417,5740172.89,141783715.8
197582,15102,0.008372806,317492.57,37919493.14
197582,15001,0.006411736,909079.73,141783715.8
197584,15102,0.063403461,1121518.90,17688606.88
197585,15102,0.209735579,3709930.20,17688606.88
197585,15102,0.001459258,55334.34,37919493.14
198560,16085,0.003072144,230433.07,75007254.36
198560,16070,0.057990062,3514436.63,60604119.23
198560,16070,0.001389934,84235.75,60604119.23
198561,16070,0.017051444,601966.52,35302965.17
198561,16070,0.017205662,1042734.02,60604119.23
198561,16070,0.000798874,48415.04,60604119.23
198561,16094,0.029452154,1264271.80,42926292.69
198561,16094,0.010774066,314702.06,29209218.86
198562,16070,0.162912454,5751292.68,35302965.17
198562,16094,0.003527537,151424.07,42926292.69
198563,16070,0.015038588,530906.73,35302965.17
198564,16070,0.234095873,8264278.44,35302965.17
198565,16070,0.060301576,2128824.44,35302965.17
198566,16107,0.002690372,442019.75,164296897.9
198567,16107,0.001697984,278973.43,164296897.9
198567,16063,0.000125847,8325.19,66153229.68
198568,16044,0.134500696,4077447.68,30315439.34
198568,16063,0.006422484,424868.04,66153229.68
198569,16044,0.07837699,2376032.90,30315439.34
198569,16063,0.093795175,6204853.78,66153229.68
198570,16044,0.083895238,2543321.00,30315439.34
198570,16063,0.086644596,5731819.85,66153229.68
198571,16044,0.089773611,2721526.47,30315439.34
198571,16063,0.054066939,3576702.65,66153229.68
198572,16044,0.18970163,5750888.26,30315439.34
198572,16063,0.004338369,286997.12,66153229.68
198573,16044,0.150030233,4548232.44,30315439.34
198573,16063,0.05228939,3459112.01,66153229.68
198574,16044,0.104084613,3155370.77,30315439.34
198575,16044,0.024831788,340568.68,13715028.57
198578,16037,0.000806894,37115.10,45997468.68
198579,16037,0.153770988,7073076.22,45997468.68
198579,16044,0.00262976,79722.34,30315439.34
198579,16054,0.018770174,1038540.22,55329279.06
198580,16037,0.09256963,4257968.68,45997468.68
198580,16054,0.043268102,2393992.88,55329279.06
198581,16037,0.128988567,5933147.58,45997468.68
198581,16054,0.021787696,1205497.50,55329279.06
198582,16037,0.181646829,8355294.33,45997468.68
198582,16054,0.011652161,644705.67,55329279.06
198583,16037,0.1622096,7461231.00,45997468.68
198583,16027,0.033320947,1538589.99,46174857.13
198584,16027,0.045173381,2085874.39,46174857.13
198584,16027,0.149737888,6914125.61,46174857.13
198585,16027,0.153137819,7071116.90,46174857.13
198586,16027,0.069436959,3206241.68,46174857.13
198587,16027,0.014045545,648551.02,46174857.13
198606,11002,0.008334402,575663.65,69070783.02
198607,16110,0.006679141,1355750.72,202982792.6
198607,11002,0.028228594,1949771.10,69070783.02
198608,16110,0.034930178,7090225.09,202982792.6
198608,11002,0.001082102,74741.66,69070783.02
198608,11002,0.002738348,189139.84,69070783.02
198609,16110,0.030520711,6195179.08,202982792.6
198610,16110,0.13117162,5924713.68,45167648.77
198610,16110,0.003745955,760364.33,202982792.6
198611,16110,0.150328279,6789974.93,45167648.77
198612,16110,0.083049716,3751160.38,45167648.77
198612,16050,0.048487108,5215590.46,107566540.1
198613,16050,0.019608362,2109203.67,107566540.1
198613,16050,0.064060779,6890796.33,107566540.1
198614,16050,0.065012829,6993205.04,107566540.1
198614,11038,0.113527656,2006794.96,17676705.73
198615,16050,0.039707931,4271244.77,107566540.1
